Tier,Term,Fico,Loan.Amount,Channel,Member,Fixed.Rate
1,2,600-619,0-9999,Affiliate,Member,0.04773
1,2,600-619,0-9999,Affiliate,NonMember,0.04873
1,2,600-619,0-9999,NonAffiliate,Member,0.04923
1,2,600-619,0-9999,NonAffiliate,NonMember,0.05023
1,2,600-619,10000-19999,Affiliate,Member,0.04767
1,2,600-619,10000-19999,Affiliate,NonMember,0.04867
1,2,600-619,10000-19999,NonAffiliate,Member,0.04917
1,2,600-619,10000-19999,NonAffiliate,NonMember,0.05017
1,2,600-619,20000-29999,Affiliate,Member,0.04761
1,2,600-619,20000-29999,Affiliate,NonMember,0.04861
1,2,600-619,20000-29999,NonAffiliate,Member,0.04911
1,2,600-619,20000-29999,NonAffiliate,NonMember,0.05011
1,2,600-619,30000-39999,Affiliate,Member,0.04755
1,2,600-619,30000-39999,Affiliate,NonMember,0.04855
1,2,600-619,30000-39999,NonAffiliate,Member,0.04905
1,2,600-619,30000-39999,NonAffiliate,NonMember,0.05005
1,2,600-619,40000-49999,Affiliate,Member,0.04749
1,2,600-619,40000-49999,Affiliate,NonMember,0.04849
1,2,600-619,40000-49999,NonAffiliate,Member,0.04899
1,2,600-619,40000-49999,NonAffiliate,NonMember,0.04999
1,2,600-619,50000-59999,Affiliate,Member,0.04743
1,2,600-619,50000-59999,Affiliate,NonMember,0.04843
1,2,600-619,50000-59999,NonAffiliate,Member,0.04893
1,2,600-619,50000-59999,NonAffiliate,NonMember,0.04993
1,2,600-619,60000-69999,Affiliate,Member,0.04737
1,2,600-619,60000-69999,Affiliate,NonMember,0.04837
1,2,600-619,60000-69999,NonAffiliate,Member,0.04887
1,2,600-619,60000-69999,NonAffiliate,NonMember,0.04987
1,2,600-619,70000-79999,Affiliate,Member,0.04731
1,2,600-619,70000-79999,Affiliate,NonMember,0.04831
1,2,600-619,70000-79999,NonAffiliate,Member,0.04881
1,2,600-619,70000-79999,NonAffiliate,NonMember,0.04981
1,2,600-619,80000-89999,Affiliate,Member,0.04725
1,2,600-619,80000-89999,Affiliate,NonMember,0.04825
1,2,600-619,80000-89999,NonAffiliate,Member,0.04875
1,2,600-619,80000-89999,NonAffiliate,NonMember,0.04975
1,2,600-619,90000-100000,Affiliate,Member,0.04719
1,2,600-619,90000-100000,Affiliate,NonMember,0.04819
1,2,600-619,90000-100000,NonAffiliate,Member,0.04869
1,2,600-619,90000-100000,NonAffiliate,NonMember,0.04969
1,2,620-639,0-9999,Affiliate,Member,0.04597
