Tier,Term,Fico,Loan.Amount,Channel,Member,Fixed.Rate
1,2,600-619,0-9999,Affiliate,Member,0.04803
1,2,600-619,0-9999,Affiliate,NonMember,0.04903
1,2,600-619,0-9999,NonAffiliate,Member,0.04953
1,2,600-619,0-9999,NonAffiliate,NonMember,0.05053
1,2,600-619,10000-19999,Affiliate,Member,0.04797
1,2,600-619,10000-19999,Affiliate,NonMember,0.04897
1,2,600-619,10000-19999,NonAffiliate,Member,0.04947
1,2,600-619,10000-19999,NonAffiliate,NonMember,0.05047
1,2,600-619,20000-29999,Affiliate,Member,0.04791
1,2,600-619,20000-29999,Affiliate,NonMember,0.04891
1,2,600-619,20000-29999,NonAffiliate,Member,0.04941
1,2,600-619,20000-29999,NonAffiliate,NonMember,0.05041
1,2,600-619,30000-39999,Affiliate,Member,0.04785
1,2,600-619,30000-39999,Affiliate,NonMember,0.04885
1,2,600-619,30000-39999,NonAffiliate,Member,0.04935
1,2,600-619,30000-39999,NonAffiliate,NonMember,0.05035
1,2,600-619,40000-49999,Affiliate,Member,0.04779
1,2,600-619,40000-49999,Affiliate,NonMember,0.04879
1,2,600-619,40000-49999,NonAffiliate,Member,0.04929
1,2,600-619,40000-49999,NonAffiliate,NonMember,0.05029
1,2,600-619,50000-59999,Affiliate,Member,0.04773
1,2,600-619,50000-59999,Affiliate,NonMember,0.04873
1,2,600-619,50000-59999,NonAffiliate,Member,0.04923
1,2,600-619,50000-59999,NonAffiliate,NonMember,0.05023
1,2,600-619,60000-69999,Affiliate,Member,0.04767
1,2,600-619,60000-69999,Affiliate,NonMember,0.04867
1,2,600-619,60000-69999,NonAffiliate,Member,0.04917
1,2,600-619,60000-69999,NonAffiliate,NonMember,0.05017
1,2,600-619,70000-79999,Affiliate,Member,0.04761
1,2,600-619,70000-79999,Affiliate,NonMember,0.04861
1,2,600-619,70000-79999,NonAffiliate,Member,0.04911
1,2,600-619,70000-79999,NonAffiliate,NonMember,0.05011
1,2,600-619,80000-89999,Affiliate,Member,0.04755
1,2,600-619,80000-89999,Affiliate,NonMember,0.04855
1,2,600-619,80000-89999,NonAffiliate,Member,0.04905
1,2,600-619,80000-89999,NonAffiliate,NonMember,0.05005
1,2,600-619,90000-100000,Affiliate,Member,0.04749
1,2,600-619,90000-100000,Affiliate,NonMember,0.04849
1,2,600-619,90000-100000,NonAffiliate,Member,0.04899
1,2,600-619,90000-100000,NonAffiliate,NonMember,0.04999
1,2,620-639,0-9999,Affiliate,Member,0.04627
1,2,620-639,0-9999,Affiliate,NonMember,0.04727
1,2,620-639,0-9999,NonAffiliate,Member,0.04777
1,2,620-639,0-9999,NonAffiliate,NonMember,0.04877
1,2,620-639,10000-19999,Affiliate,Member,0.04621
1,2,620-639,10000-19999,Affiliate,NonMember,0.04721
1,2,620-639,10000-19999,NonAffiliate,Member,0.04771
1,2,620-639,10000-19999,NonAffiliate,NonMember,0.04871
1,2,620-639,20000-29999,Affiliate,Member,0.04615
1,2,620-639,20000-29999,Affiliate,NonMember,0.04715
1,2,620-639,20000-29999,NonAffiliate,Member,0.04765
1,2,620-639,20000-29999,NonAffiliate,NonMember,0.04865
1,2,620-639,30000-39999,Affiliate,Member,0.04609
1,2,620-639,30000-39999,Affiliate,NonMember,0.04709
1,2,620-639,30000-39999,NonAffiliate,Member,0.04759
1,2,620-639,30000-39999,NonAffiliate,NonMember,0.04859
1,2,620-639,40000-49999,Affiliate,Member,0.04603
1,2,620-639,40000-49999,Affiliate,NonMember,0.04703
1,2,620-639,40000-49999,NonAffiliate,Member,0.04753
1,2,620-639,40000-49999,NonAffiliate,NonMember,0.04853
1,2,620-639,50000-59999,Affiliate,Member,0.04597
1,2,620-639,50000-59999,Affiliate,NonMember,0.04697
1,2,620-639,50000-59999,NonAffiliate,Member,0.04747
1,2,620-639,50000-59999,NonAffiliate,NonMember,0.04847
1,2,620-639,60000-69999,Affiliate,Member,0.04591
