Tier,Income,Term,Loan Purpose,FICO,Member,Affiliate Channel,Grid Assigned,Loan Amount,Rate Selected,WAC,Approved,Declined,Conversion Rate,Converted,Doc Upload,DS to Signed (days)
2,78974,3,DebtConsolidation,803,Member,Affiliate,AI,48230,0.03319,0.03319,1,0,0.500,1,1,4
4,84236,3,DebtConsolidation,779,Member,NonAffiliate,AH,36595,0.03987,0.03987,1,0,0.550,1,1,5
6,40289,2,Auto,646,Member,Affiliate,AH,20187,0.04979,0.04979,0,1,0.000,0,0,
4,65690,6,MajorPurchase,722,NonMember,NonAffiliate,AE,22141,0.04545,0.04545,0,1,0.000,0,0,
7,52814,5,Medical,663,Member,NonAffiliate,AG,35520,0.05367,0.05367,0,1,0.000,0,0,
10,40934,5,HomeImprovement,639,Member,Affiliate,AA,31651,0.05679,0.05679,1,0,0.500,0,1,
9,37313,5,DebtConsolidation,607,Member,NonAffiliate,AF,25425,0.06051,0.06051,1,0,0.550,0,1,
2,92474,3,HomeImprovement,814,Member,NonAffiliate,AB,45718,0.03249,0.03249,1,0,0.550,1,0,8
8,36862,7,DebtConsolidation,621,NonMember,NonAffiliate,AB,10601,0.06031,0.06031,0,1,0.000,0,0,
2,67713,5,MajorPurchase,768,NonMember,NonAffiliate,AF,34903,0.04037,0.04037,1,0,0.450,0,1,
1,80646,5,MajorPurchase,828,NonMember,Affiliate,AA,54297,0.03200,0.03200,1,0,0.400,0,1,
4,81730,4,DebtConsolidation,776,Member,NonAffiliate,AE,37196,0.03847,0.03847,1,0,0.550,0,0,
10,38907,3,DebtConsolidation,635,NonMember,NonAffiliate,AG,15610,0.05891,0.05891,0,1,0.000,0,0,
8,56176,4,HomeImprovement,677,Member,NonAffiliate,AE,19205,0.05139,0.05139,1,0,0.550,0,1,
6,46089,2,HomeImprovement,678,Member,NonAffiliate,AI,26187,0.04993,0.04993,1,0,0.550,1,1,9
7,55258,3,MajorPurchase,658,NonMember,Affiliate,AB,16136,0.05125,0.05125,1,0,0.400,0,1,
9,38778,7,DebtConsolidation,603,NonMember,Affiliate,AE,12638,0.06077,0.06077,0,1,0.000,0,0,
6,52080,2,Medical,648,NonMember,NonAffiliate,AH,14968,0.05235,0.05235,0,1,0.000,0,0,
8,43213,4,HomeImprovement,602,Member,NonAffiliate,AD,8161,0.05863,0.05863,0,1,0.000,0,0,
5,65891,4,Auto,694,NonMember,NonAffiliate,AG,23502,0.04977,0.04977,1,0,0.450,0,1,
8,44823,6,DebtConsolidation,610,NonMember,NonAffiliate,AH,12358,0.06267,0.06267,0,1,0.000,0,0,
6,43947,5,MajorPurchase,642,Member,NonAffiliate,AE,29707,0.05229,0.05229,0,1,0.000,0,0,
10,42804,5,MajorPurchase,633,Member,NonAffiliate,AG,17781,0.06031,0.06031,0,1,0.000,0,0,
4,66128,2,Auto,694,NonMember,Affiliate,AA,24264,0.04297,0.04297,1,0,0.400,0,0,
